ID_CLIENTE,FECHA_SOLICITUD,EDAD,ESTADO_CIVIL,NIVEL_EDUCATIVO,SITUACION_LABORAL,TIPO_VIVIENDA,INGRESOS_MENSUALES,LINEA_CREDITO_TOTAL,SALDO_DEUDOR_TOTAL,NUM_ATRASOS_30_59_DIAS,NUM_ATRASOS_60_89_DIAS,NUM_ATRASOS_90_MAS_DIAS,NUM_CONSULTAS_CENTRAL,DEFAULT
CLI_000001,2025-04-13,20,SOLTERO,UNIVERSITARIO,DEPENDIENTE,HIPOTECA,6793.078787779245,7842.09,3981.31,0,0,1,2.0,1
CLI_000002,2025-12-15,49,CASADO,SECUNDARIA,DEPENDIENTE,ALQUILER,3984.078539786406,24551.97,2117.79,0,0,0,0.0,0
CLI_000003,2025-09-28,41,CASADO,POSGRADO,DEPENDIENTE,HIPOTECA,2901.7038416393198,2257.9,871.06,0,0,0,2.0,1
CLI_000004,2025-04-17,48,CASADO,POSGRADO,DEPENDIENTE,PROPIA,3560.862562663826,10606.75,3104.32,0,0,0,2.0,0
CLI_000005,2025-03-13,41,CASADO,UNIVERSITARIO,DEPENDIENTE,ALQUILER,1952.1131349605714,17801.13,2407.27,0,0,0,1.0,0
CLI_000006,2025-07-08,42,SOLTERO,UNIVERSITARIO,DEPENDIENTE,PROPIA,1814.6312944515867,16115.31,3014.38,0,0,0,0.0,0
CLI_000007,2025-01-21,18,CASADO,SECUNDARIA,INDEPENDIENTE,ALQUILER,16838.514099351974,1705.81,48.72,0,0,0,4.0,0
CLI_000008,2025-04-13,50,SOLTERO,SECUNDARIA,INDEPENDIENTE,ALQUILER,13250.652830079222,4575.37,2626.29,0,0,0,2.0,0
CLI_000009,2025-05-02,29,CASADO,POSGRADO,DEPENDIENTE,PROPIA,2936.53985130767,25127.28,4220.82,0,0,0,1.0,0
CLI_000010,2025-08-03,31,SOLTERO,UNIVERSITARIO,DEPENDIENTE,PROPIA,3559.5102102350006,5105.47,3085.61,0,0,0,0.0,0
CLI_000011,2025-11-27,35,SOLTERO,SECUNDARIA,DEPENDIENTE,ALQUILER,7169.552744105276,9326.13,2000.86,0,0,0,,1
CLI_000012,2025-03-29,18,SOLTERO,UNIVERSITARIO,DEPENDIENTE,ALQUILER,5554.096437026802,54441.28,12705.13,0,0,0,1.0,0
CLI_000013,2025-04-10,34,DIVORCIADO,UNIVERSITARIO,INDEPENDIENTE,PROPIA,1392.0092628124266,12411.03,478.68,0,0,0,0.0,0
CLI_000014,2025-12-26,33,SOLTERO,SECUNDARIA,INDEPENDIENTE,ALQUILER,2667.835283782685,11272.86,3776.31,0,0,0,1.0,1
CLI_000015,2025-06-01,36,SOLTERO,UNIVERSITARIO,DEPENDIENTE,ALQUILER,2032.5931265026738,11871.25,837.57,2,0,0,1.0,0
CLI_000016,2025-05-11,22,SOLTERO,UNIVERSITARIO,DEPENDIENTE,ALQUILER,18211.27253416676,3874.62,31.85,0,0,0,2.0,0
CLI_000017,2025-05-30,51,SOLTERO,UNIVERSITARIO,DEPENDIENTE,HIPOTECA,5858.899543593565,15486.67,2022.35,0,0,0,1.0,0
CLI_000018,2025-11-05,45,SOLTERO,UNIVERSITARIO,DESEMPLEADO,PROPIA,,1783.39,709.25,0,0,1,1.0,1
CLI_000019,2025-09-15,31,CASADO,UNIVERSITARIO,INDEPENDIENTE,ALQUILER,9085.376908768763,6184.03,592.36,0,0,0,0.0,0
CLI_000020,2025-12-10,34,CASADO,UNIVERSITARIO,DEPENDIENTE,ALQUILER,10231.789440204442,5922.55,896.78,0,0,0,0.0,0
CLI_000021,2025-10-21,50,CASADO,SECUNDARIA,DESEMPLEADO,HIPOTECA,2443.790020191128,2433.52,940.24,0,0,0,1.0,0
CLI_000022,2025-07-11,38,CASADO,SECUNDARIA,DEPENDIENTE,HIPOTECA,,6410.47,349.01,0,0,0,1.0,0
CLI_000023,2025-10-04,27,CASADO,UNIVERSITARIO,DEPENDIENTE,HIPOTECA,5035.392823976714,12577.85,6947.72,0,0,0,0.0,0
CLI_000024,2025-06-10,40,SOLTERO,UNIVERSITARIO,DEPENDIENTE,ALQUILER,5601.807362571451,7178.15,2311.3,0,0,0,,0
CLI_000025,2025-11-10,29,CASADO,SECUNDARIA,INDEPENDIENTE,ALQUILER,5163.964386769655,1751.6,1058.61,0,0,0,0.0,0
CLI_000026,2025-01-22,33,SOLTERO,SECUNDARIA,DESEMPLEADO,ALQUILER,3896.189535771689,13296.89,7134.83,0,0,0,2.0,1
CLI_000027,2025-09-10,40,CASADO,SECUNDARIA,DEPENDIENTE,ALQUILER,11790.042322404173,5875.57,259.88,0,0,0,0.0,0
CLI_000028,2025-08-24,52,SOLTERO,UNIVERSITARIO,DESEMPLEADO,ALQUILER,3538.7241968735752,79210.08,33849.9,0,0,0,3.0,1
CLI_000029,2025-12-11,63,SOLTERO,UNIVERSITARIO,DEPENDIENTE,PROPIA,1436.461547655531,29090.07,11110.61,0,0,0,0.0,0
CLI_000030,2025-02-18,55,CASADO,UNIVERSITARIO,DEPENDIENTE,ALQUILER,1318.4546916933148,9522.83,4233.02,0,0,0,2.0,0
