ID_CLIENTE,FECHA_SOLICITUD,EDAD,ESTADO_CIVIL,NIVEL_EDUCATIVO,SITUACION_LABORAL,TIPO_VIVIENDA,INGRESOS_MENSUALES,LINEA_CREDITO_TOTAL,SALDO_DEUDOR_TOTAL,NUM_ATRASOS_30_59_DIAS,NUM_ATRASOS_60_89_DIAS,NUM_ATRASOS_90_MAS_DIAS,NUM_CONSULTAS_CENTRAL
CLI_015001,2026-01-01,38,SOLTERO,UNIVERSITARIO,DESEMPLEADO,HIPOTECA,3790.871855431662,10059.97,2024.25,0,0,0,2.0
CLI_015002,2026-02-10,39,CASADO,UNIVERSITARIO,DEPENDIENTE,ALQUILER,2688.108191666261,8686.94,1921.54,0,0,0,3.0
CLI_015003,2026-01-31,32,CASADO,UNIVERSITARIO,DEPENDIENTE,ALQUILER,4534.532543352718,3744.62,2681.51,0,0,0,2.0
CLI_015004,2026-03-28,55,CASADO,UNIVERSITARIO,DEPENDIENTE,PROPIA,9016.96504145112,5901.73,1847.24,0,0,0,0.0
CLI_015005,2026-02-11,41,SOLTERO,SECUNDARIA,INDEPENDIENTE,ALQUILER,3882.2561452499863,2672.14,1034.72,0,0,0,2.0
CLI_015006,2026-01-13,41,DIVORCIADO,UNIVERSITARIO,DEPENDIENTE,HIPOTECA,2511.1787295405156,16000.66,7905.82,0,0,0,0.0
CLI_015007,2026-01-14,35,DIVORCIADO,SECUNDARIA,DEPENDIENTE,ALQUILER,2077.906436749231,13175.56,1896.82,1,0,0,2.0
CLI_015008,2026-01-04,41,CASADO,UNIVERSITARIO,DEPENDIENTE,HIPOTECA,12228.08374430841,21770.41,3475.27,0,1,0,0.0
CLI_015009,2026-02-18,30,CASADO,UNIVERSITARIO,DEPENDIENTE,PROPIA,11745.490167236552,35438.25,3008.74,0,0,0,3.0
CLI_015010,2026-01-16,24,DIVORCIADO,UNIVERSITARIO,DESEMPLEADO,HIPOTECA,7818.1629600834185,8067.5,1055.47,1,1,0,0.0
CLI_015011,2026-02-27,31,DIVORCIADO,POSGRADO,DESEMPLEADO,PROPIA,3247.756301855939,7536.12,1859.18,1,0,0,0.0
CLI_015012,2026-03-12,40,SOLTERO,SECUNDARIA,INDEPENDIENTE,ALQUILER,4122.827734910206,19815.68,3382.46,0,0,0,0.0
CLI_015013,2026-02-07,48,CASADO,UNIVERSITARIO,DEPENDIENTE,HIPOTECA,4358.188856947555,2032.46,842.36,0,0,0,2.0
CLI_015014,2026-01-03,37,CASADO,SECUNDARIA,DESEMPLEADO,HIPOTECA,2899.172770917117,16867.25,5910.1,1,0,0,3.0
CLI_015015,2026-02-03,33,CASADO,UNIVERSITARIO,DEPENDIENTE,PROPIA,,2948.3,1103.51,0,0,0,1.0
CLI_015016,2026-01-13,49,CASADO,UNIVERSITARIO,DEPENDIENTE,HIPOTECA,9124.891068403875,3311.85,218.87,0,0,0,2.0
CLI_015017,2026-01-15,68,DIVORCIADO,SECUNDARIA,DEPENDIENTE,ALQUILER,10893.80103738336,2448.34,717.32,0,0,0,0.0
CLI_015018,2026-02-20,28,SOLTERO,UNIVERSITARIO,DEPENDIENTE,PROPIA,4846.9583682418415,22567.58,3376.37,0,0,0,1.0
CLI_015019,2026-01-11,41,CASADO,UNIVERSITARIO,INDEPENDIENTE,ALQUILER,5305.302955214208,32484.06,11003.28,0,0,0,2.0
CLI_015020,2026-03-24,47,SOLTERO,UNIVERSITARIO,DESEMPLEADO,ALQUILER,1546.5423047856884,11338.75,2010.11,0,0,0,
CLI_015021,2026-01-25,43,DIVORCIADO,SECUNDARIA,DEPENDIENTE,PROPIA,1628.1429225609472,20019.83,15800.86,0,0,0,0.0
CLI_015022,2026-03-05,33,CASADO,SECUNDARIA,DEPENDIENTE,PROPIA,1128.5644714778196,10212.16,1898.49,0,0,0,3.0
CLI_015023,2026-01-14,38,SOLTERO,UNIVERSITARIO,DEPENDIENTE,ALQUILER,2425.8616288152334,11399.9,1425.45,0,0,0,3.0
CLI_015024,2026-03-15,60,SOLTERO,SECUNDARIA,DEPENDIENTE,PROPIA,4451.836430569954,1991.55,892.79,0,0,0,0.0
CLI_015025,2026-02-21,32,CASADO,UNIVERSITARIO,DEPENDIENTE,HIPOTECA,4575.119727912572,74799.37,20039.2,0,0,0,1.0
