iter	Passed	Remaining
0	124	74635
1	126	37804
2	127	25450
3	129	19288
4	131	15630
5	132	13153
6	134	11382
7	135	10048
8	137	9052
9	139	8223
10	140	7539
11	142	6967
12	144	6531
13	146	6117
14	147	5755
15	148	5438
16	150	5176
17	152	4935
18	154	4710
19	155	4508
20	157	4339
21	158	4176
22	160	4022
23	161	3882
24	163	3767
25	165	3651
26	166	3540
27	168	3436
28	170	3348
29	171	3261
30	173	3176
31	174	3097
32	176	3029
33	178	2963
34	179	2898
35	180	2834
36	182	2781
37	184	2731
38	186	2677
39	187	2626
40	189	2584
41	191	2541
42	192	2496
43	194	2454
44	196	2420
45	198	2386
46	199	2348
47	200	2311
48	202	2280
49	204	2252
50	206	2219
51	207	2188
52	209	2164
53	211	2138
54	213	2110
55	214	2083
56	216	2061
57	218	2039
58	219	2014
59	221	1989
60	223	1971
61	224	1951
62	226	1929
63	227	1907
64	230	1895
65	232	1881
66	235	1870
67	237	1857
68	239	1840
69	240	1823
70	243	1817
71	245	1802
72	247	1790
73	251	1784
74	252	1768
75	255	1761
76	257	1747
77	259	1734
78	262	1730
79	264	1717
80	265	1703
81	268	1693
82	269	1681
83	271	1667
84	273	1654
85	275	1644
86	277	1633
87	278	1621
88	280	1610
89	282	1601
90	284	1589
91	285	1578
92	288	1570
93	290	1562
94	292	1552
95	294	1545
96	296	1536
97	297	1526
98	299	1515
99	301	1509
100	303	1499
101	305	1489
102	307	1482
103	309	1474
104	310	1464
105	312	1455
106	314	1450
107	316	1441
108	317	1432
109	320	1429
110	322	1421
111	324	1412
112	326	1405
113	328	1399
114	329	1391
115	331	1383
116	333	1378
117	335	1371
118	337	1363
119	339	1356
120	341	1351
121	342	1343
122	344	1335
123	346	1331
124	348	1325
125	350	1319
126	352	1313
127	354	1307
128	356	1300
129	357	1293
130	360	1292
131	362	1285
132	363	1277
133	365	1272
134	367	1266
135	369	1259
136	370	1253
137	373	1250
138	375	1243
139	376	1237
140	378	1231
141	380	1227
142	382	1220
143	383	1214
144	385	1209
145	387	1203
146	388	1198
147	390	1191
148	392	1186
149	393	1181
150	395	1175
151	396	1169
152	398	1164
153	400	1159
154	401	1153
155	403	1147
156	404	1142
