u_bajo,u_alto,beneficio_3_bandas_usd,clientes_bajo,clientes_medio,clientes_alto,pct_bajo,pct_medio,pct_alto,tasa_default_bajo,tasa_default_medio,tasa_default_alto
0.3,0.36,9150.0,71,9,80,44.38,5.62,50.0,0.0704,0.1111,0.5125
0.16,0.36,8925.0,47,33,80,29.38,20.62,50.0,0.0426,0.1212,0.5125
0.29,0.36,8700.0,69,11,80,43.12,6.88,50.0,0.0725,0.0909,0.5125
0.3,0.37,8400.0,71,12,77,44.38,7.5,48.12,0.0704,0.1667,0.5195
0.3,0.35,8400.0,71,7,82,44.38,4.38,51.25,0.0704,0.1429,0.5
0.27,0.36,8250.0,67,13,80,41.88,8.12,50.0,0.0746,0.0769,0.5125
0.28,0.36,8250.0,67,13,80,41.88,8.12,50.0,0.0746,0.0769,0.5125
0.16,0.35,8175.0,47,31,82,29.38,19.38,51.25,0.0426,0.129,0.5
0.16,0.33,8175.0,47,26,87,29.38,16.25,54.37,0.0426,0.1154,0.4828
0.16,0.37,8175.0,47,36,77,29.38,22.5,48.12,0.0426,0.1389,0.5195
0.16,0.32,8175.0,47,26,87,29.38,16.25,54.37,0.0426,0.1154,0.4828
0.15,0.36,8025.0,43,37,80,26.88,23.12,50.0,0.0465,0.1081,0.5125
0.26,0.36,8025.0,66,14,80,41.25,8.75,50.0,0.0758,0.0714,0.5125
0.29,0.37,7950.0,69,14,77,43.12,8.75,48.12,0.0725,0.1429,0.5195
0.29,0.35,7950.0,69,9,82,43.12,5.62,51.25,0.0725,0.1111,0.5
0.25,0.36,7800.0,65,15,80,40.62,9.38,50.0,0.0769,0.0667,0.5125
0.16,0.34,7800.0,47,30,83,29.38,18.75,51.88,0.0426,0.1333,0.494
0.24,0.36,7575.0,64,16,80,40.0,10.0,50.0,0.0781,0.0625,0.5125
0.29,0.34,7575.0,69,8,83,43.12,5.0,51.88,0.0725,0.125,0.494
0.27,0.35,7500.0,67,11,82,41.88,6.88,51.25,0.0746,0.0909,0.5
0.27,0.33,7500.0,67,6,87,41.88,3.75,54.37,0.0746,0.0,0.4828
0.28,0.37,7500.0,67,16,77,41.88,10.0,48.12,0.0746,0.125,0.5195
0.28,0.35,7500.0,67,11,82,41.88,6.88,51.25,0.0746,0.0909,0.5
0.27,0.37,7500.0,67,16,77,41.88,10.0,48.12,0.0746,0.125,0.5195
0.28,0.33,7500.0,67,6,87,41.88,3.75,54.37,0.0746,0.0,0.4828
0.27,0.32,7500.0,67,6,87,41.88,3.75,54.37,0.0746,0.0,0.4828
0.17,0.36,7425.0,48,32,80,30.0,20.0,50.0,0.0625,0.0938,0.5125
0.15,0.37,7275.0,43,40,77,26.88,25.0,48.12,0.0465,0.125,0.5195
0.15,0.33,7275.0,43,30,87,26.88,18.75,54.37,0.0465,0.1,0.4828
0.15,0.32,7275.0,43,30,87,26.88,18.75,54.37,0.0465,0.1,0.4828
0.26,0.32,7275.0,66,7,87,41.25,4.38,54.37,0.0758,0.0,0.4828
0.26,0.37,7275.0,66,17,77,41.25,10.62,48.12,0.0758,0.1176,0.5195
0.26,0.35,7275.0,66,12,82,41.25,7.5,51.25,0.0758,0.0833,0.5
0.26,0.33,7275.0,66,7,87,41.25,4.38,54.37,0.0758,0.0,0.4828
0.15,0.35,7275.0,43,35,82,26.88,21.88,51.25,0.0465,0.1143,0.5
0.14,0.36,7125.0,39,41,80,24.38,25.62,50.0,0.0513,0.0976,0.5125
0.28,0.34,7125.0,67,10,83,41.88,6.25,51.88,0.0746,0.1,0.494
0.23,0.36,7125.0,62,18,80,38.75,11.25,50.0,0.0806,0.0556,0.5125
0.27,0.34,7125.0,67,10,83,41.88,6.25,51.88,0.0746,0.1,0.494
0.25,0.32,7050.0,65,8,87,40.62,5.0,54.37,0.0769,0.0,0.4828
