threshold,buenos_aprobados,buenos_rechazados,defaults_aprobados,defaults_rechazados,beneficio_usd,ahorro_neto_usd,roi_vs_base,recall_defaults,precision_default
0.05,2,111,0,47,-15750.0,74400.0,0.8253,1.0,0.2975
0.06,6,107,0,47,-13350.0,76800.0,0.8519,1.0,0.3052
0.07,10,103,1,46,-13950.0,76200.0,0.8453,0.9787,0.3087
0.08,15,98,1,46,-10950.0,79200.0,0.8785,0.9787,0.3194
0.09,18,95,1,46,-9150.0,81000.0,0.8985,0.9787,0.3262
0.1,22,91,1,46,-6750.0,83400.0,0.9251,0.9787,0.3358
0.11,27,86,1,46,-3750.0,86400.0,0.9584,0.9787,0.3485
0.12,30,83,1,46,-1950.0,88200.0,0.9784,0.9787,0.3566
0.13,35,78,1,46,1050.0,91200.0,1.0116,0.9787,0.371
0.14,39,74,1,46,3450.0,93600.0,1.0383,0.9787,0.3833
0.15,41,72,1,46,4650.0,94800.0,1.0516,0.9787,0.3898
0.16,43,70,1,46,5850.0,96000.0,1.0649,0.9787,0.3966
0.17,47,66,3,44,2250.0,92400.0,1.025,0.9362,0.4
0.18,50,63,3,44,4050.0,94200.0,1.0449,0.9362,0.4112
0.19,51,62,3,44,4650.0,94800.0,1.0516,0.9362,0.4151
0.2,53,60,3,44,5850.0,96000.0,1.0649,0.9362,0.4231
0.21,53,60,5,42,-150.0,90000.0,0.9983,0.8936,0.4118
0.22,56,57,5,42,1650.0,91800.0,1.0183,0.8936,0.4242
0.23,57,56,5,42,2250.0,92400.0,1.025,0.8936,0.4286
0.24,60,53,5,42,4050.0,94200.0,1.0449,0.8936,0.4421
0.25,61,52,5,42,4650.0,94800.0,1.0516,0.8936,0.4468
0.26,61,52,5,42,4650.0,94800.0,1.0516,0.8936,0.4468
0.27,63,50,6,41,2850.0,93000.0,1.0316,0.8723,0.4505
0.28,64,49,6,41,3450.0,93600.0,1.0383,0.8723,0.4556
0.29,64,49,6,41,3450.0,93600.0,1.0383,0.8723,0.4556
0.3,66,47,6,41,4650.0,94800.0,1.0516,0.8723,0.4659
